"job_title","link","bussiness_name","city","state","address","salary","job_type","business_type","job_description","country","region","source"
"Teacher of Chemistry / Science Teacher","https://jobs.theguardian.com/job/8944565/teacher-of-chemistry-science-teacher-/","EdEx – Education Recruitment","Westminster","","","£34560 - £55003 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Biology,              Chemistry,              Physics,              Science,              Schools,              Newly qualified teacher,              Sixth form teaching","Teacher of Chemistry / Science Teacher  In the heart of Westminster an 'Outstanding' Secondary School are on the hunt for a Teacher of Chemistry / Science Teacher for a September 2024 start. This is a permanent, and full-time contract. The Head Teacher is looking for an ambitious Teacher of Chemistry / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects. The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school! Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers. Does this sound like the Teacher of Chemistry / Science Teacher for you? If so, please read on below to find out further information!  JOB DESCRIPTIONTeacher of Chemistry / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £34,571 - £59,135  TLR (Size depending on experience)Located in the Borough of Westminster PERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedback SCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - WestminsterCarpark onsite If you are interested in this Teacher of Chemistry / Science Teacher opportunity, interviews & lesson observations can be arranged immediately! Apply for this Teacher of Chemistry / Science Teacher opportunity by sending your CV to Ryan at EdEx. You will be contacted by your personal consultant (if shortlisted)! Teacher of Chemistry / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Biology / Science Teacher","https://jobs.theguardian.com/job/8944560/teacher-of-biology-science-teacher-/","EdEx – Education Recruitment","Westminster","","","£34560 - £55003 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Biology,              Chemistry,              Science,              Schools,              Newly qualified teacher,              Sixth form teaching","Teacher of Biology / Science Teacher  In the heart of Westminster an 'Outstanding' Secondary School are on the hunt for a Teacher of Biology / Science Teacher for a September 2024 start. This is a permanent, and full-time contract. The Head Teacher is looking for an ambitious Teacher of Biology / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects. The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school! Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers. Does this sound like the Teacher of Biology / Science Teacher for you? If so, please read on below to find out further information!  JOB DESCRIPTIONTeacher of Biology / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £34,571 - £53,135  TLR (Size depending on experience)Located in the Borough of Westminster PERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedback SCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - WestminsterCarpark onsite If you are interested in this Teacher of Biology / Science Teacher opportunity, interviews & lesson observations can be arranged immediately! Apply for this Teacher of Biology / Science Teacher opportunity by sending your CV to Ryan at EdEx. You will be contacted by your personal consultant (if shortlisted)! Teacher of Biology / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Physics / Science Teacher","https://jobs.theguardian.com/job/8944559/teacher-of-physics-science-teacher-/","EdEx – Education Recruitment","Westminster","","","£34560 - £55003 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Biology,              Chemistry,              Science,              Schools,              Newly qualified teacher,              Sixth form teaching","Teacher of Physics / Science Teacher  In the heart of Westminster an 'Outstanding' Secondary School are on the hunt for a Teacher of Physics / Science Teacher for a September 2024 start. This is a permanent, and full-time contract. The Head Teacher is looking for an ambitious Teacher of Physics / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects. The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school! Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers. Does this sound like the Teacher of Physics / Science Teacher for you? If so, please read on below to find out further information!  JOB DESCRIPTIONTeacher of Physics / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £34,571 - £53,135  TLR (Size depending on experience)Located in the Borough of Westminster PERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedback SCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - WestminsterCarpark onsite If you are interested in this Teacher of Physics / Science Teacher opportunity, interviews & lesson observations can be arranged immediately! Apply for this Teacher of Physics / Science Teacher opportunity by sending your CV to Ryan at EdEx. You will be contacted by your personal consultant (if shortlisted)! Teacher of Physics / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Physics / Science Teacher","https://jobs.theguardian.com/job/8934020/teacher-of-physics-science-teacher-/","EdEx – Education Recruitment","Tower Hamlets","","","£36000 - £58000 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Physics,              Science,              Schools,              Newly qualified teacher","Teacher of Physics / Science Teacher In the heart of Tower Hamlets an 'Outstanding' Secondary School are on the hunt for a Teacher of Physics / Science Teacher for a September 2024 start. This is a permanent, and full-time contract.The Head Teacher is looking for an ambitious Teacher of Physics / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects.The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school!Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers.Does this sound like the Teacher of Physics / Science Teacher for you? If so, please read on below to find out further information!JOB DESCRIPTIONTeacher of Physics / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £36,571 - £58,135  TLR (Size depending on experience)Located in the Borough of Tower HamletsPERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedbackSCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - Tower HamletsCarpark onsiteIf you are interested in this Teacher of Physics / Science Teacher opportunity, interviews & lesson observations can be arranged immediately!Apply for this Teacher of Physics / Science Teacher opportunity by sending your CV to Josh at EdEx. You will be contacted by your personal consultant (if shortlisted)!Teacher of Physics / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Biology / Science Teacher","https://jobs.theguardian.com/job/8934019/teacher-of-biology-science-teacher/","EdEx – Education Recruitment","Tower Hamlets","","","£36000 - £58000 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Biology,              Science,              Schools,              Newly qualified teacher","Teacher of Biology / Science Teacher In the heart of Tower Hamlets an 'Outstanding' Secondary School are on the hunt for a Teacher of Biology / Science Teacher for a September 2024 start. This is a permanent, and full-time contract.The Head Teacher is looking for an ambitious Teacher of Biology / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects.The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school!Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers.Does this sound like the Teacher of Biology / Science Teacher for you? If so, please read on below to find out further information!JOB DESCRIPTIONTeacher of Biology / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £36,571 - £58,135  TLR (Size depending on experience)Located in the Borough of Tower HamletsPERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedbackSCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - Tower HamletsCarpark onsiteIf you are interested in this Teacher of Biology / Science Teacher opportunity, interviews & lesson observations can be arranged immediately!Apply for this Teacher of Biology / Science Teacher opportunity by sending your CV to Josh at EdEx. You will be contacted by your personal consultant (if shortlisted)!Teacher of Biology / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Chemistry / Science Teacher","https://jobs.theguardian.com/job/8934018/teacher-of-chemistry-science-teacher-/","EdEx – Education Recruitment","Tower Hamlets","","","£36000 - £59000 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Head of dept,              Chemistry,              Science,              Schools,              Newly qualified teacher","Teacher of Chemistry / Science Teacher In the heart of Tower Hamlets an 'Outstanding' Secondary School are on the hunt for a Teacher of Chemistry / Science Teacher for a September 2024 start. This is a permanent, and full-time contract.The Head Teacher is looking for an ambitious Teacher of Chemistry / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects.The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school!Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers.Does this sound like the Teacher of Chemistry / Science Teacher for you? If so, please read on below to find out further information!JOB DESCRIPTIONTeacher of Chemistry / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £36,571 - £59,135  TLR (Size depending on experience)Located in the Borough of Tower HamletsPERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedbackSCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - Tower HamletsCarpark onsiteIf you are interested in this Teacher of Chemistry / Science Teacher opportunity, interviews & lesson observations can be arranged immediately!Apply for this Teacher of Chemistry / Science Teacher opportunity by sending your CV to Josh at EdEx. You will be contacted by your personal consultant (if shortlisted)!Teacher of Chemistry / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Physics / Science Teacher","https://jobs.theguardian.com/job/8926053/teacher-of-physics-science-teacher-/","EdEx – Education Recruitment","Westminster","","","£34560 - £55003 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Biology,              Chemistry,              Science,              Schools,              Newly qualified teacher,              Sixth form teaching","Teacher of Physics / Science Teacher  In the heart of Westminster an 'Outstanding' Secondary School are on the hunt for a Teacher of Physics / Science Teacher for a September 2024 start. This is a permanent, and full-time contract. The Head Teacher is looking for an ambitious Teacher of Physics / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects. The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school! Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers. Does this sound like the Teacher of Physics / Science Teacher for you? If so, please read on below to find out further information!  JOB DESCRIPTIONTeacher of Physics / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £34,571 - £53,135  TLR (Size depending on experience)Located in the Borough of Westminster PERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedback SCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - WestminsterCarpark onsite If you are interested in this Teacher of Physics / Science Teacher opportunity, interviews & lesson observations can be arranged immediately! Apply for this Teacher of Physics / Science Teacher opportunity by sending your CV to Ryan at EdEx. You will be contacted by your personal consultant (if shortlisted)! Teacher of Physics / Science Teacher","UK","Europe","TheGuardianJobs"
"Teacher of Biology / Science Teacher","https://jobs.theguardian.com/job/8926052/teacher-of-biology-science-teacher-/","EdEx – Education Recruitment","Westminster","","","£34560 - £55003 per annum","Full time","Primary teaching,              Secondary teaching,              Secondary leadership,              Biology,              Chemistry,              Science,              Schools,              Newly qualified teacher,              Sixth form teaching","Teacher of Biology / Science Teacher  In the heart of Westminster an 'Outstanding' Secondary School are on the hunt for a Teacher of Biology / Science Teacher for a September 2024 start. This is a permanent, and full-time contract. The Head Teacher is looking for an ambitious Teacher of Biology / Science Teacher who is keen to add value to an expanding Science Department. The school is renowned for their supportive SLT, and impressive Progress 8 results across all subjects. The school are well invested into the Education sector setting new teaching practices, as well as training their own and new staff. It's an exciting time at the school! Experienced Science Teachers can take on a TLR such as KS3 Coordinator, Pastoral Responsibility and more. Early Careers Teachers (ECTs) will be enrolled onto the school's very own bespoke ECT induction, as well as work alongside a range of young & experienced Science Teachers. Does this sound like the Teacher of Biology / Science Teacher for you? If so, please read on below to find out further information!  JOB DESCRIPTIONTeacher of Biology / Science TeacherInspiring and motivating the younger generationWorking alongside a team of fantastic Science TeachersTLR Opportunities: KS3 Coordinator and Pastoral ResponsibilitiesECTs welcome: 1:1 Mentor, bespoke NQT induction, In & out of house training and moreSeptember 2024 - Full Time & PermanentThe school are happy to work around registration deadlines for ALL candidatesMPS1-UPS3 - £34,571 - £53,135  TLR (Size depending on experience)Located in the Borough of Westminster PERSON SPECIFICATIONMust have UK QTS or be in the process of gainingStrong academics across the board - Degree, A Levels and GCSEsMust be meeting the 8 Teaching Standards to a 'Good or Outstanding' levelYou must be able to work as part of a large team of Science TeachersMust be willing to listen to feedback SCHOOL DETAILSGraded 'Outstanding' in latest Ofsted reportImpressive Progress 8 resultsModern & creative facilities throughoutImpeccable behavior throughout the SchoolPlenty of additional support in class from graduate Teaching AssistantsGood Tube Links - WestminsterCarpark onsite If you are interested in this Teacher of Biology / Science Teacher opportunity, interviews & lesson observations can be arranged immediately! Apply for this Teacher of Biology / Science Teacher opportunity by sending your CV to Ryan at EdEx. You will be contacted by your personal consultant (if shortlisted)! Teacher of Biology / Science Teacher","UK","Europe","TheGuardianJobs"
"Biology Teacher","https://jobs.theguardian.com/job/8926751/biology-teacher/","RIBBONS AND REEVES","Harrow","","","£36320 - £42654 per annum","Full time","Secondary teaching,              Biology,              Schools,              Sixth form teaching","Biology Teacher | September 2024 Start...! Biology Teacher VACANCY in a 'Good' Secondary School in Harrow. Suitable for ECTs or a more experienced Biology Teacher! Are you a knowledgeable and proactive Biology Teacher in search of a new venture from September? Would you bring a passion for Biology as a Biology Teacher, and the ambition to transform your department? My client school are looking for their next Biology Teacher to come in and completely reshape the Biology department, transform their curriculum, and invigorate their students! With a history of fantastic grades, reports of great student well-being, and staff and student happiness being at an all-time high, my school is a fantastic place to work and has your best interests at heart as well as their students. Biology Teacher | A bit about the role:Join a large team of (roughly 6) practitioners, at all stages of their careers.Be the newest Biology Teacher in an established team, who are looking to welcome a new perspective.Behaviour expectations are high, and pupils follow suit. New staff will be welcomed into a well-resourced environment with fantastic equipment- especially as a Biology Teacher joining the Science Department.This 3FE school goes up to KS5, and there will be the opportunity for you to teach Biology to teach A-Level Biology as a Biology Teacher.Join a school that will provide you a lunch allowance, free parking, access to a local gym... and more!Biology Teacher | About you:You must have UK QTS as a Biology Teacher.Any route taken to achieve QTS is accepted.A First-Class Biology Degree would be advantageous for a Biology Teacher.A Biology Teacher should be ambitious, driven, and have an aptitude for teaching!You must be adaptable and flexible, and go above and beyond to help students of all abilities.If you are a Biology teacher based in North or North West London, and you are avidly searching for your next role, this Biology teacher vacancy may be for you! If this role of a Biology Teacher intrigues you, and you’re avidly searching for your next job role, please click ‘Apply’ to this role, and attach a CV and a cover letter! If you have any questions or would like to find out more about this role, feel free to contact me at Ribbons & Reeves at 02080041155 , and ask for Olivia! Ribbons & Reeves are London’s leading Education Recruiters. We specialise in helping educators of all levels secure long-term and permanent roles, such as this Biology Teacher in Harrow. For other roles like this, check out our website, and search ‘Ribbons & Reeves’. We look forward to supporting you in your application to this Biology Teacher role.   Biology Teacher | Harrow | INDCLASS","UK","Europe","TheGuardianJobs"
"Ks1 Teacher","https://jobs.theguardian.com/job/8934040/ks1-teacher/","RIBBONS AND REEVES","Harrow","","","Not specified","Full time","Primary teaching,              Age 5-7,              Schools","KS1 Teacher | Harrow Are you a KS1 Teacher looking for an 'Outstanding' Primary School to start working at this September? Would a school that values its KS1 Teachers, and excels in not only academic excellence but also in creating a supportive and inclusive environment, align with the values you are looking for in your new school as a KS1 Teacher? If this sounds like something you'd be interested in, my client school in a bustling area of Harrow is looking for a committed, dynamic and creative KS1 Teacher to come into their Year 1 class in September 2024, and put all of that exemplary work and training into action! A prospective applicant should be a charismatic KS1 Teacher with hopes of progression through the school. KS1 Teacher | Job Role:Join an 'Outstanding' Rated Primary School, and a feeder school to an incredible secondary school.A KS1 Teacher will receive Outer London MPS / UPS. Join a positive and welcoming staff body as their newest KS1 Teacher, and join an established team of educators on their journey to inspire the next generations. Work with SEND students to help meet their EHCP targets.Applicants for the KS1 Teacher role must have a degree from a UK University, and QTS is mandatory! Successful Applicants to be a KS1 Teacher will have great time management, the ability to plan engaging lessons and their ability to deliver lessons will be impeccable!If you think you would be the perfect fit for this KS1 Teacher role, please click ‘Apply’ and attach your CV or covering letter. Alternatively for more information don’t hesitate to contact Olivia at Ribbons and Reeves. Ribbons & Reeves are London’s leading Education Recruiters. We specialise in helping educators of all level’s secure long-term and permanent roles, such as this KS1 Teacher in Harrow. For other roles like this, check out our website, search ‘Ribbons & Reeves’. We look forward to supporting you in your application to this KS1 Teacher role. KS1 Teacher | Harrow | September 2024","UK","Europe","TheGuardianJobs"
